"","date","dewtemp","pressure","temp"
"184",1995-04-01,NA,NA,NA
"185",1995-05-01,NA,NA,NA
"186",1995-06-01,NA,NA,NA
"187",1995-07-01,NA,NA,NA
"188",1995-08-01,NA,NA,NA
"189",1995-09-01,NA,NA,NA
"190",1995-10-01,NA,NA,NA
"191",1995-11-01,NA,NA,NA
"192",1995-12-01,NA,NA,NA
"193",1996-01-01,NA,NA,NA
"194",1996-02-01,NA,NA,NA
"195",1996-03-01,NA,NA,NA
"196",1996-04-01,NA,NA,NA
"197",1996-05-01,NA,NA,NA
"198",1996-06-01,NA,NA,NA
"199",1996-07-01,NA,NA,NA
"200",1996-08-01,NA,NA,NA
"201",1996-09-01,NA,NA,NA
"202",1996-10-01,NA,NA,NA
"203",1996-11-01,NA,NA,NA
"204",1996-12-01,NA,NA,NA
"205",1997-01-01,NA,NA,NA
"206",1997-02-01,NA,NA,NA
"207",1997-03-01,NA,NA,NA
"208",1997-04-01,NA,NA,NA
"209",1997-05-01,NA,NA,NA
"210",1997-06-01,NA,NA,NA
"211",1997-07-01,NA,NA,NA
"212",1997-08-01,NA,NA,NA
"213",1997-09-01,NA,NA,NA
"214",1997-10-01,NA,NA,NA
"215",1997-11-01,NA,NA,NA
"216",1997-12-01,NA,NA,NA
"217",1998-01-01,NA,NA,NA
"218",1998-02-01,NA,NA,NA
"219",1998-03-01,NA,NA,NA
"220",1998-04-01,NA,NA,NA
"221",1998-05-01,NA,NA,NA
"222",1998-06-01,NA,NA,NA
"223",1998-07-01,NA,NA,NA
"224",1998-08-01,NA,NA,NA
"225",1998-09-01,NA,NA,NA
"226",1998-10-01,NA,NA,NA
"227",1998-11-01,NA,NA,NA
"228",1998-12-01,NA,NA,NA
"229",1999-01-01,NA,NA,NA
"230",1999-02-01,NA,NA,NA
"231",1999-03-01,NA,NA,NA
"232",1999-04-01,NA,NA,NA
"233",1999-05-01,NA,NA,NA
"234",1999-06-01,NA,NA,NA
"235",1999-07-01,NA,NA,NA
"236",1999-08-01,NA,NA,NA
"237",1999-09-01,NA,NA,NA
"238",1999-10-01,NA,NA,NA
"239",1999-11-01,NA,NA,NA
"240",1999-12-01,NA,NA,NA
"241",2000-01-01,NA,NA,NA
"242",2000-02-01,NA,NA,NA
"243",2000-03-01,NA,NA,NA
"244",2000-04-01,NA,NA,NA
"245",2000-05-01,NA,NA,NA
"246",2000-06-01,NA,NA,NA
"247",2000-07-01,NA,NA,NA
"248",2000-08-01,NA,NA,NA
"249",2000-09-01,NA,NA,NA
"250",2000-10-01,NA,NA,NA
"251",2000-11-01,NA,NA,NA
"252",2000-12-01,NA,NA,NA
"253",2001-01-01,NA,NA,NA
"254",2001-02-01,NA,NA,NA
"255",2001-03-01,NA,NA,NA
"256",2001-04-01,NA,NA,NA
"257",2001-05-01,NA,NA,NA
"258",2001-06-01,NA,NA,NA
"259",2001-07-01,NA,NA,NA
"260",2001-08-01,NA,NA,NA
"261",2001-09-01,NA,NA,NA
"262",2001-10-01,NA,NA,NA
"263",2001-11-01,NA,NA,NA
"264",2001-12-01,NA,NA,NA
"265",2002-01-01,NA,NA,NA
"266",2002-02-01,NA,NA,NA
"267",2002-03-01,NA,NA,NA
"268",2002-04-01,NA,NA,NA
"269",2002-05-01,NA,NA,NA
"270",2002-06-01,NA,NA,NA
"271",2002-07-01,NA,NA,NA
"272",2002-08-01,NA,NA,NA
"273",2002-09-01,NA,NA,NA
"274",2002-10-01,NA,NA,NA
"275",2002-11-01,NA,NA,NA
"276",2002-12-01,NA,NA,NA
"277",2003-01-01,NA,NA,NA
"278",2003-02-01,NA,NA,NA
"279",2003-03-01,NA,NA,NA
"280",2003-04-01,NA,NA,NA
"281",2003-05-01,NA,NA,NA
"282",2003-06-01,NA,NA,NA
"283",2003-07-01,NA,NA,NA
"284",2003-08-01,NA,NA,NA
"285",2003-09-01,NA,NA,NA
"286",2003-10-01,NA,NA,NA
"287",2003-11-01,NA,NA,NA
"288",2003-12-01,NA,NA,NA
"289",2004-01-01,NA,NA,NA
"290",2004-02-01,NA,NA,NA
"291",2004-03-01,NA,NA,NA
"292",2004-04-01,NA,NA,NA
"293",2004-05-01,NA,NA,NA
"294",2004-06-01,NA,NA,NA
"295",2004-07-01,NA,NA,NA
"296",2004-08-01,NA,NA,NA
"297",2004-09-01,NA,NA,NA
"298",2004-10-01,NA,NA,NA
"299",2004-11-01,NA,NA,NA
"300",2004-12-01,NA,NA,NA
"301",2005-01-01,NA,NA,NA
"302",2005-02-01,NA,NA,NA
"303",2005-03-01,NA,NA,NA
"304",2005-04-01,NA,NA,NA
"305",2005-05-01,NA,NA,NA
"306",2005-06-01,NA,NA,NA
"307",2005-07-01,NA,NA,NA
"308",2005-08-01,NA,NA,NA
"309",2005-09-01,NA,NA,NA
"310",2005-10-01,NA,NA,NA
"311",2005-11-01,NA,NA,NA
"312",2005-12-01,NA,NA,NA
"313",2006-01-01,NA,NA,NA
"314",2006-02-01,NA,NA,NA
"315",2006-03-01,NA,NA,NA
"316",2006-04-01,NA,NA,NA
"317",2006-05-01,NA,NA,NA
"318",2006-06-01,NA,NA,NA
"319",2006-07-01,NA,NA,NA
"320",2006-08-01,NA,NA,NA
"321",2006-09-01,NA,NA,NA
"322",2006-10-01,NA,NA,NA
"323",2006-11-01,NA,NA,NA
"324",2006-12-01,NA,NA,NA
"325",2007-01-01,NA,NA,NA
"326",2007-02-01,NA,NA,NA
"327",2007-03-01,NA,NA,NA
"328",2007-04-01,NA,NA,NA
"329",2007-05-01,NA,NA,NA
"330",2007-06-01,NA,NA,NA
"331",2007-07-01,NA,NA,NA
"332",2007-08-01,NA,NA,NA
"333",2007-09-01,NA,NA,NA
"334",2007-10-01,NA,NA,NA
"335",2007-11-01,NA,NA,NA
"336",2007-12-01,NA,NA,NA
"337",2008-01-01,NA,NA,NA
"338",2008-02-01,NA,NA,NA
"339",2008-03-01,NA,NA,NA
"340",2008-04-01,NA,NA,NA
"341",2008-05-01,NA,NA,NA
"342",2008-06-01,NA,NA,NA
"343",2008-07-01,NA,NA,NA
"344",2008-08-01,NA,NA,NA
"345",2008-09-01,NA,NA,NA
"346",2008-10-01,NA,NA,NA
"347",2008-11-01,NA,NA,NA
"348",2008-12-01,NA,NA,NA
"349",2009-01-01,NA,NA,NA
"350",2009-02-01,NA,NA,NA
"351",2009-03-01,NA,NA,NA
"352",2009-04-01,NA,NA,NA
"353",2009-05-01,NA,NA,NA
"354",2009-06-01,NA,NA,NA
"355",2009-07-01,NA,NA,NA
"356",2009-08-01,NA,NA,NA
"357",2009-09-01,NA,NA,NA
"358",2009-10-01,NA,NA,NA
"359",2009-11-01,NA,NA,NA
"360",2009-12-01,NA,NA,NA
"361",2010-01-01,NA,NA,NA
"362",2010-02-01,NA,NA,NA
"363",2010-03-01,NA,NA,NA
"364",2010-04-01,NA,NA,NA
"365",2010-05-01,NA,NA,NA
"366",2010-06-01,NA,NA,NA
"367",2010-07-01,NA,NA,NA
"368",2010-08-01,NA,NA,NA
"369",2010-09-01,NA,NA,NA
"370",2010-10-01,NA,NA,NA
"371",2010-11-01,NA,NA,NA
"372",2010-12-01,NA,NA,NA
"373",2011-01-01,NA,NA,NA
"374",2011-02-01,NA,NA,NA
"375",2011-03-01,NA,NA,NA
"376",2011-04-01,NA,NA,NA
"377",2011-05-01,NA,NA,NA
"378",2011-06-01,NA,NA,NA
"379",2011-07-01,NA,NA,NA
"380",2011-08-01,NA,NA,NA
"381",2011-09-01,NA,NA,NA
"382",2011-10-01,NA,NA,NA
"383",2011-11-01,NA,NA,NA
"384",2011-12-01,NA,NA,NA
"385",2012-01-01,NA,NA,NA
"386",2012-02-01,NA,NA,NA
"387",2012-03-01,NA,NA,NA
"388",2012-04-01,NA,NA,NA
"389",2012-05-01,NA,NA,NA
"390",2012-06-01,NA,NA,NA
"391",2012-07-01,NA,NA,NA
"392",2012-08-01,NA,NA,NA
"393",2012-09-01,NA,NA,NA
"394",2012-10-01,NA,NA,NA
"395",2012-11-01,NA,NA,NA
"396",2012-12-01,NA,NA,NA
"397",2013-01-01,NA,NA,NA
"398",2013-02-01,NA,NA,NA
"399",2013-03-01,NA,NA,NA
"400",2013-04-01,NA,NA,NA
"401",2013-05-01,NA,NA,NA
"402",2013-06-01,NA,NA,NA
"403",2013-07-01,NA,NA,NA
"404",2013-08-01,NA,NA,NA
"405",2013-09-01,NA,NA,NA
"406",2013-10-01,NA,NA,28.5545454545455
"407",2013-11-01,NA,NA,NA
"408",2013-12-01,NA,NA,28.0131578947368
"409",2014-01-01,NA,NA,NA
"410",2014-02-01,NA,NA,29.0392857142857
"411",2014-03-01,NA,NA,NA
"412",2014-04-01,NA,NA,27.2085714285714
"413",2014-05-01,NA,NA,NA
"414",2014-06-01,NA,NA,27.4085714285714
"415",2014-07-01,NA,NA,27.2464285714286
"416",2014-08-01,NA,NA,26.7272727272727
"417",2014-09-01,NA,NA,27.2184210526316
"418",2014-10-01,NA,NA,NA
"419",2014-11-01,NA,NA,NA
"420",2014-12-01,NA,NA,NA
"421",2015-01-01,NA,NA,NA
"422",2015-02-01,NA,NA,NA
"423",2015-03-01,NA,NA,31.6
"424",2015-04-01,NA,NA,28.4571428571429
"425",2015-05-01,NA,NA,27.4974358974359
"426",2015-06-01,NA,NA,27.509756097561
"427",2015-07-01,NA,NA,27.4387096774194
"428",2015-08-01,NA,NA,27.5017857142857
"429",2015-09-01,NA,NA,27.202380952381
"430",2015-10-01,NA,NA,NA
"431",2015-11-01,NA,NA,NA
"432",2015-12-01,NA,NA,29.0742857142857
"433",2016-01-01,NA,NA,28.7434782608696
"434",2016-02-01,NA,NA,29.3628571428571
"435",2016-03-01,NA,NA,29.1055555555556
"436",2016-04-01,NA,NA,28.8926829268293
"437",2016-05-01,NA,NA,27.7645833333333
"438",2016-06-01,NA,NA,27.5385714285714
"439",2016-07-01,NA,NA,27.25
"440",2016-08-01,NA,NA,27.0139240506329
"441",2016-09-01,NA,NA,NA
"442",2016-10-01,NA,NA,NA
"443",2016-11-01,NA,NA,27.2958333333333
"444",2016-12-01,NA,NA,28.0565217391304
