"","date","dewtemp","pressure","temp"
"184",1995-04-01,NA,NA,NA
"185",1995-05-01,NA,NA,NA
"186",1995-06-01,NA,NA,NA
"187",1995-07-01,NA,NA,NA
"188",1995-08-01,NA,NA,NA
"189",1995-09-01,NA,NA,NA
"190",1995-10-01,NA,NA,NA
"191",1995-11-01,NA,NA,NA
"192",1995-12-01,NA,NA,NA
"193",1996-01-01,NA,NA,NA
"194",1996-02-01,NA,NA,NA
"195",1996-03-01,NA,NA,NA
"196",1996-04-01,NA,NA,NA
"197",1996-05-01,NA,NA,NA
"198",1996-06-01,NA,NA,NA
"199",1996-07-01,NA,NA,NA
"200",1996-08-01,NA,NA,NA
"201",1996-09-01,NA,NA,NA
"202",1996-10-01,NA,NA,NA
"203",1996-11-01,NA,NA,NA
"204",1996-12-01,NA,NA,NA
"205",1997-01-01,NA,NA,NA
"206",1997-02-01,NA,NA,NA
"207",1997-03-01,NA,NA,NA
"208",1997-04-01,NA,NA,NA
"209",1997-05-01,NA,NA,NA
"210",1997-06-01,NA,NA,NA
"211",1997-07-01,NA,NA,NA
"212",1997-08-01,NA,NA,NA
"213",1997-09-01,NA,NA,NA
"214",1997-10-01,NA,NA,NA
"215",1997-11-01,NA,NA,NA
"216",1997-12-01,NA,NA,NA
"217",1998-01-01,NA,NA,NA
"218",1998-02-01,NA,NA,NA
"219",1998-03-01,NA,NA,NA
"220",1998-04-01,NA,NA,NA
"221",1998-05-01,NA,NA,NA
"222",1998-06-01,NA,NA,NA
"223",1998-07-01,NA,NA,NA
"224",1998-08-01,NA,NA,NA
"225",1998-09-01,NA,NA,NA
"226",1998-10-01,NA,NA,NA
"227",1998-11-01,NA,NA,NA
"228",1998-12-01,NA,NA,NA
"229",1999-01-01,NA,NA,NA
"230",1999-02-01,NA,NA,NA
"231",1999-03-01,NA,NA,NA
"232",1999-04-01,NA,NA,NA
"233",1999-05-01,NA,NA,NA
"234",1999-06-01,NA,NA,NA
"235",1999-07-01,NA,NA,NA
"236",1999-08-01,NA,NA,NA
"237",1999-09-01,NA,NA,NA
"238",1999-10-01,NA,NA,NA
"239",1999-11-01,NA,NA,NA
"240",1999-12-01,NA,NA,NA
"241",2000-01-01,NA,NA,NA
"242",2000-02-01,NA,NA,NA
"243",2000-03-01,NA,NA,NA
"244",2000-04-01,NA,NA,NA
"245",2000-05-01,NA,NA,NA
"246",2000-06-01,NA,NA,NA
"247",2000-07-01,NA,NA,NA
"248",2000-08-01,NA,NA,NA
"249",2000-09-01,NA,NA,NA
"250",2000-10-01,NA,NA,NA
"251",2000-11-01,NA,NA,NA
"252",2000-12-01,NA,NA,NA
"253",2001-01-01,NA,NA,NA
"254",2001-02-01,NA,NA,NA
"255",2001-03-01,NA,NA,NA
"256",2001-04-01,NA,NA,NA
"257",2001-05-01,NA,NA,NA
"258",2001-06-01,NA,NA,NA
"259",2001-07-01,NA,NA,NA
"260",2001-08-01,NA,NA,NA
"261",2001-09-01,NA,NA,NA
"262",2001-10-01,NA,NA,NA
"263",2001-11-01,NA,NA,NA
"264",2001-12-01,NA,NA,NA
"265",2002-01-01,NA,NA,NA
"266",2002-02-01,NA,NA,NA
"267",2002-03-01,NA,NA,NA
"268",2002-04-01,NA,NA,NA
"269",2002-05-01,NA,NA,NA
"270",2002-06-01,NA,NA,NA
"271",2002-07-01,NA,NA,NA
"272",2002-08-01,NA,NA,NA
"273",2002-09-01,NA,NA,NA
"274",2002-10-01,NA,NA,NA
"275",2002-11-01,NA,NA,NA
"276",2002-12-01,NA,NA,NA
"277",2003-01-01,NA,NA,NA
"278",2003-02-01,NA,NA,NA
"279",2003-03-01,NA,NA,NA
"280",2003-04-01,NA,NA,NA
"281",2003-05-01,NA,NA,NA
"282",2003-06-01,NA,NA,NA
"283",2003-07-01,NA,NA,NA
"284",2003-08-01,NA,NA,NA
"285",2003-09-01,NA,NA,NA
"286",2003-10-01,NA,NA,NA
"287",2003-11-01,NA,NA,NA
"288",2003-12-01,NA,NA,NA
"289",2004-01-01,NA,NA,NA
"290",2004-02-01,NA,NA,NA
"291",2004-03-01,NA,NA,NA
"292",2004-04-01,NA,NA,NA
"293",2004-05-01,NA,NA,NA
"294",2004-06-01,NA,NA,NA
"295",2004-07-01,NA,NA,NA
"296",2004-08-01,NA,NA,NA
"297",2004-09-01,NA,NA,NA
"298",2004-10-01,NA,NA,NA
"299",2004-11-01,NA,NA,NA
"300",2004-12-01,NA,NA,NA
"301",2005-01-01,NA,NA,NA
"302",2005-02-01,NA,NA,NA
"303",2005-03-01,NA,NA,NA
"304",2005-04-01,NA,NA,NA
"305",2005-05-01,NA,NA,NA
"306",2005-06-01,NA,NA,NA
"307",2005-07-01,NA,NA,NA
"308",2005-08-01,NA,NA,NA
"309",2005-09-01,NA,NA,NA
"310",2005-10-01,NA,NA,NA
"311",2005-11-01,NA,NA,NA
"312",2005-12-01,NA,NA,NA
"313",2006-01-01,NA,NA,NA
"314",2006-02-01,NA,NA,NA
"315",2006-03-01,NA,NA,NA
"316",2006-04-01,NA,NA,NA
"317",2006-05-01,NA,NA,NA
"318",2006-06-01,NA,NA,NA
"319",2006-07-01,NA,NA,NA
"320",2006-08-01,NA,NA,NA
"321",2006-09-01,21.9428571428571,962.821428571429,25.1928571428571
"322",2006-10-01,NA,NA,NA
"323",2006-11-01,NA,958.510204081633,25.9020408163265
"324",2006-12-01,NA,NA,NA
"325",2007-01-01,23.1876033057851,959.465289256198,NA
"326",2007-02-01,NA,NA,NA
"327",2007-03-01,NA,NA,NA
"328",2007-04-01,NA,NA,NA
"329",2007-05-01,NA,NA,26.1346456692913
"330",2007-06-01,NA,NA,NA
"331",2007-07-01,21.43,NA,24.4692307692308
"332",2007-08-01,NA,NA,NA
"333",2007-09-01,NA,NA,NA
"334",2007-10-01,22.4940740740741,NA,NA
"335",2007-11-01,NA,NA,NA
"336",2007-12-01,NA,NA,25.5176470588235
"337",2008-01-01,NA,NA,25.9028571428571
"338",2008-02-01,23.1410852713178,960.465891472868,26.4906976744186
"339",2008-03-01,22.6636363636364,958.965289256198,26.2917355371901
"340",2008-04-01,23.0944444444444,NA,26.3730158730159
"341",2008-05-01,23.4173611111111,960.727083333333,25.8194444444444
"342",2008-06-01,22.6708609271523,NA,24.6324503311258
"343",2008-07-01,21.351724137931,963.457471264368,24.3747126436782
"344",2008-08-01,22.1253968253968,961.71746031746,26.2190476190476
"345",2008-09-01,22.5546666666667,962.170666666667,26.0586666666667
"346",2008-10-01,22.6848214285714,961.820535714286,24.5848214285714
"347",2008-11-01,23.2572727272727,960.738181818182,24.8127272727273
"348",2008-12-01,23.4343511450382,960.397709923664,24.9259541984733
"349",2009-01-01,22.9431034482759,960.890517241379,24.7293103448276
"350",2009-02-01,22.7759615384615,959.936538461538,24.95
"351",2009-03-01,NA,NA,NA
"352",2009-04-01,NA,NA,NA
"353",2009-05-01,NA,NA,NA
"354",2009-06-01,NA,NA,NA
"355",2009-07-01,NA,NA,NA
"356",2009-08-01,NA,NA,NA
"357",2009-09-01,NA,NA,NA
"358",2009-10-01,NA,NA,NA
"359",2009-11-01,NA,NA,NA
"360",2009-12-01,NA,NA,24.775
"361",2010-01-01,22.7091836734694,NA,25.7051020408163
"362",2010-02-01,NA,NA,26.3321428571429
"363",2010-03-01,22.1601941747573,960.897087378641,26.5349514563107
"364",2010-04-01,22.9922330097087,NA,NA
"365",2010-05-01,NA,NA,NA
"366",2010-06-01,NA,NA,NA
"367",2010-07-01,20.2638095238095,963.64,23.2419047619048
"368",2010-08-01,20.3900763358779,963.212213740458,24.1343511450382
"369",2010-09-01,NA,NA,NA
"370",2010-10-01,NA,NA,NA
"371",2010-11-01,NA,NA,NA
"372",2010-12-01,22.1146341463415,NA,24.4164634146341
"373",2011-01-01,NA,959.559162303665,NA
"374",2011-02-01,21.8253807106599,959.794923857868,24.8482233502538
"375",2011-03-01,NA,NA,25.5577272727273
"376",2011-04-01,NA,NA,NA
"377",2011-05-01,NA,NA,NA
"378",2011-06-01,21.3258426966292,NA,23.9213483146067
"379",2011-07-01,20.7015228426396,NA,23.5355329949239
"380",2011-08-01,19.8114754098361,NA,NA
"381",2011-09-01,NA,NA,NA
"382",2011-10-01,NA,NA,24.5897196261682
"383",2011-11-01,21.7899497487437,961.208542713568,NA
"384",2011-12-01,22.1875675675676,961.168108108108,24.3497297297297
"385",2012-01-01,NA,NA,24.8535211267606
"386",2012-02-01,NA,NA,NA
"387",2012-03-01,22.1326086956522,NA,25.5603260869565
"388",2012-04-01,22.5611111111111,NA,25.4604938271605
"389",2012-05-01,22.1981395348837,NA,24.5683720930233
"390",2012-06-01,21.2533632286996,NA,23.7461883408072
"391",2012-07-01,19.9464285714286,NA,23.2410714285714
"392",2012-08-01,19.8606837606838,NA,23.8290598290598
"393",2012-09-01,21.0981395348837,NA,24.6009302325581
"394",2012-10-01,21.8582222222222,961.347555555556,24.6008888888889
"395",2012-11-01,22.0903846153846,NA,24.4586538461538
"396",2012-12-01,22.0771428571429,960.472380952381,24.4414285714286
"397",2013-01-01,22.6363636363636,NA,25.3885167464115
"398",2013-02-01,22.3273684210526,960.006315789474,25.6631578947368
"399",2013-03-01,22.3913875598086,NA,25.4985645933014
"400",2013-04-01,22.4388888888889,960.624242424242,25.15
"401",2013-05-01,NA,NA,24.8260869565217
"402",2013-06-01,21.1602678571429,NA,23.7834821428571
"403",2013-07-01,NA,NA,23.019806763285
"404",2013-08-01,19.453738317757,NA,23.1831775700935
"405",2013-09-01,20.7950226244344,NA,NA
"406",2013-10-01,NA,NA,24.5604255319149
"407",2013-11-01,21.796943231441,NA,24.6812227074236
"408",2013-12-01,22.0713080168776,960.21476793249,24.7978902953586
"409",2014-01-01,22.5899122807018,959.942543859649,25.2776315789474
"410",2014-02-01,22.3319796954315,959.484263959391,25.2426395939086
"411",2014-03-01,22.1241379310345,959.634051724138,25.3922413793103
"412",2014-04-01,22.4883561643836,959.867808219178,24.9527397260274
"413",2014-05-01,22.4761904761905,960.503896103896,24.6316017316017
"414",2014-06-01,21.8574074074074,962.181018518518,23.9541666666667
"415",2014-07-01,20.0652360515021,964.25965665236,23.0489270386266
"416",2014-08-01,19.9524590163934,963.38606557377,23.4213114754098
"417",2014-09-01,20.7447368421053,NA,24.3561403508772
"418",2014-10-01,21.5171806167401,961.609691629956,25.0533039647577
"419",2014-11-01,21.9675799086758,961.067579908676,24.5607305936073
"420",2014-12-01,NA,961.344782608696,NA
"421",2015-01-01,21.8982683982684,961.785714285714,24.9051948051948
"422",2015-02-01,22.0422727272727,960.726818181818,25.0654545454545
"423",2015-03-01,22.0654867256637,960.146902654867,25.1606194690265
"424",2015-04-01,NA,961.155299539171,24.9239631336406
"425",2015-05-01,22.3572072072072,961.411711711712,24.5941441441441
"426",2015-06-01,20.9722466960352,963.069162995595,23.6286343612335
"427",2015-07-01,20.8632911392405,963.005907172996,23.6784810126582
"428",2015-08-01,20.7466666666667,961.73125,24.0645833333333
"429",2015-09-01,21.2042553191489,962.051489361702,25.071914893617
"430",2015-10-01,21.8155963302752,961.06376146789,25.0532110091743
"431",2015-11-01,22.275,960.701315789474,24.8048245614035
"432",2015-12-01,22.6270161290323,961.824193548387,25.5112903225806
"433",2016-01-01,22.3279352226721,961.180566801619,25.4655870445344
"434",2016-02-01,22.7969696969697,960.4670995671,25.6056277056277
"435",2016-03-01,23.1415322580645,960.7125,25.9790322580645
"436",2016-04-01,23.0753138075314,960.246861924686,25.7305439330544
"437",2016-05-01,22.6814516129032,961.951209677419,25.3415322580645
"438",2016-06-01,21.5199152542373,963.183474576271,23.9864406779661
"439",2016-07-01,20.3609756097561,962.89756097561,23.4329268292683
"440",2016-08-01,20.8481632653061,962.688163265306,24.1012244897959
"441",2016-09-01,21.5042016806723,NA,25.0714285714286
"442",2016-10-01,22.1040540540541,960.592792792793,25.3617117117117
"443",2016-11-01,22.2994285714286,960.672571428571,25.3805714285714
"444",2016-12-01,22.3526041666667,960.1984375,25.2296875
